DO,33
DO,66
DO,132
DO,264
DO,528
DO,1056
DO,2112
DO,4224
DO,8448
DO#,34.947
DO#,69.894
DO#,139.79
DO#,279.6
DO#,559.15
DO#,1118.3
DO#,2236.6
DO#,4473.2
DO#,8946.4
RE,37.026
RE,74.052
RE,148.1
RE,296.2
RE,592.42
RE,1184.8
RE,2369.7
RE,4739.3
RE,9478.7
RE#,39.237
RE#,78.474
RE#,156.95
RE#,313.9
RE#,627.79
RE#,1255.6
RE#,2511.2
RE#,5022.3
RE#,10045
MI,41.58
MI,83.16
MI,166.32
MI,332.6
MI,665.28
MI,1330.6
MI,2661.1
MI,5322.2
MI,10644
FA,44.055
FA,88.11
FA,176.22
FA,352.4
FA,704.88
FA,1409.8
FA,2819.5
FA,5639
FA,11278
FA#,46.662
FA#,93.324
FA#,186.65
FA#,373.3
FA#,746.59
FA#,1493.2
FA#,2986.4
FA#,5972.7
FA#,11945
SOL,49.434
SOL,98.868
SOL,197.74
SOL,395.5
SOL,790.94
SOL,1581.9
SOL,3163.8
SOL,6327.6
SOL,12655
SI,62.304
SI,124.61
SI,249.22
SI,498.4
SI,996.86
SI,1993.7
SI,3987.5
SI,7974.9
SI,15950
LA#,58.806
LA#,117.61
LA#,235.22
LA#,470.4
LA#,940.9
LA#,1881.8
LA#,3763.6
LA#,7527.2
LA#,15054
LA,55.506
LA,111.01
LA,222.02
LA,444
LA,888.1
LA,1776.2
LA,3552.4
LA,7104.8
LA,14210
SOL#,52.371
SOL#,104.74
SOL#,209.48
SOL#,419
SOL#,837.94
SOL#,1675.9
SOL#,3351.7
SOL#,6703.5
SOL#,13407
